Kp_linear,Kd_linear,Kp_angular,Kd_angular,spacing,final_avg_error
2.0,0.1,5.0,0.2,1.0,0.255481145422641
10.0,0.1,5.0,0.2,1.0,0.31155944628493
10.0,0.1,5.0,0.2,1.0,0.29977065794208574
10.0,0.1,5.0,0.2,1.0,0.296065915026263
1.1,0.1,5.0,0.2,1.0,0.20855749082421907
0.5,0.1,5.0,0.2,1.0,0.1626384335289664
0.5,0.5,5.0,0.2,1.0,0.13946220506001725
0.5,0.7,5.0,0.2,1.0,0.14186274818548628
1.0,0.7,5.0,0.2,1.0,0.16670215677298458
5.0,0.344,9.2,0.1,1.0,1.6257598581369375
1,0.4,5.0,0.5,1.0,0.21981269866779068
2,0.5,6,0.5,1.0,0.21615985595014583
5,0.4,6,0.5,1.0,0.20130941681968925
6,0.4,6,0.5,1.0,0.18100087171116525
7,0.4,6,0.5,1.0,0.2278653113733819
6,0.4,7,0.5,1.0,0.15125624624170406
6,0.4,8,0.5,1.0,0.10293165354239471
6,0.4,9,0.5,1.0,0.15408925003280124
6,0.4,8,0.3,1.0,0.1453819744205956
6,0.4,8,0.1,1.0,0.10688536859771332
6,0.4,8.5,0.1,1.0,0.09283937148672022
6,0.4,8.5,0.09,1.0,0.09750375177280998
6,0.4,8.7,0.09,1.0,0.08900416074625296
